func_ov006_0204cac0 kind:function(thumb,size=0x3e) addr:0x0204cac0
func_ov006_0204cb00 kind:function(thumb,size=0x68) addr:0x0204cb00
func_ov006_0204cb68 kind:function(thumb,size=0x38) addr:0x0204cb68
func_ov006_0204cba0 kind:function(arm,size=0x3c) addr:0x0204cba0
func_ov006_0204cbdc kind:function(arm,size=0x50) addr:0x0204cbdc
func_ov006_0204cc2c kind:function(arm,size=0x40) addr:0x0204cc2c
func_ov006_0204cc6c kind:function(arm,size=0x44) addr:0x0204cc6c
func_ov006_0204ccb0 kind:function(arm,size=0x3c) addr:0x0204ccb0
func_ov006_0204ccec kind:function(arm,size=0x74) addr:0x0204ccec
func_ov006_0204cd60 kind:function(arm,size=0x70) addr:0x0204cd60
func_ov006_0204cdd0 kind:function(arm,size=0x1a0) addr:0x0204cdd0
func_ov006_0204cf70 kind:function(arm,size=0x128) addr:0x0204cf70
func_ov006_0204d098 kind:function(thumb,size=0x76) addr:0x0204d098
func_ov006_0204d110 kind:function(arm,size=0x28) addr:0x0204d110
func_ov006_0204d138 kind:function(thumb,size=0x28) addr:0x0204d138
func_ov006_0204d160 kind:function(thumb,size=0x38) addr:0x0204d160
func_ov006_0204d198 kind:function(arm,size=0x70) addr:0x0204d198
func_ov006_0204d208 kind:function(arm,size=0x2c) addr:0x0204d208
func_ov006_0204d234 kind:function(thumb,size=0x32) addr:0x0204d234
func_ov006_0204d268 kind:function(arm,size=0xcc) addr:0x0204d268
func_ov006_0204d334 kind:function(arm,size=0x30) addr:0x0204d334
func_ov006_0204d364 kind:function(thumb,size=0x32) addr:0x0204d364
func_ov006_0204d398 kind:function(arm,size=0x44) addr:0x0204d398
func_ov006_0204d3dc kind:function(arm,size=0x2c) addr:0x0204d3dc
func_ov006_0204d408 kind:function(thumb,size=0x2a) addr:0x0204d408
func_ov006_0204d434 kind:function(arm,size=0x5c) addr:0x0204d434
func_ov006_0204d490 kind:function(arm,size=0x8) addr:0x0204d490
func_ov006_0204d498 kind:function(arm,size=0x8) addr:0x0204d498
